Date:, 200308
Serial number:, 0041
Data Source:, simulation
Circuit type:, -Rs-(RQ)-(RQ)-
Circuit elements: , [Rs=150 ohm R1=278.94736842105266 ohm Q1=0.001                         [s^(alpha-1)/ohm] alpha_1=0.875 R2=100 ohm Q2=0.001                         [s^(alpha-1)/ohm] alpha_2=0.85]
---
,freq [Hz],angular_freq [1/s],Re_Z [ohm],Im_Z [ohm],|Z| [ohm],phase_angle [rad]
22,64802.86440412508,407168.4054871497,150.42597462447037,-1.6563080498042273,150.43509297393894,-0.011010339958391464
23,46415.888336127726,291639.62761324603,150.576653408462,-2.1935458131465855,150.59262994890042,-0.014566605212300365
24,33245.97932270938,208890.64880324394,150.78491621537066,-2.90215274654386,150.81284245262609,-0.019244593793117087
25,23812.86194765587,149620.62431140724,151.0756041049343,-3.8343656306110265,151.12425521887627,-0.02537499451123301
26,17056.269831425252,107167.70400010158,151.48586663436353,-5.056195731195572,151.57022433590424,-0.03336495664096666
27,12216.77348996793,76760.25169330758,152.07183479752143,-6.649008617333349,152.2171220798699,-0.04369498496407416
28,8750.421749906795,54980.52137063906,152.9187320241123,-8.7090071906698,153.1665283608315,-0.05689041117162374
29,6267.602560047386,39380.5083165309,154.15544878874115,-11.341702630510008,154.5721081237398,-0.07344083314051726
30,4489.251258218607,28206.797545876623,155.97351431690714,-14.646019333454957,156.65964078435255,-0.09362614802932061
31,3215.4841769777026,20203.482936254746,158.64653026647875,-18.679512620910682,159.74243568115367,-0.11720333890116326
32,2303.1320587069963,14471.005511762072,162.536635638139,-23.39473752763827,164.21166727292015,-0.14295335684360583
33,1649.6480740980207,10365.044541189785,168.0578672404815,-28.545129231054297,170.46486777115365,-0.16824726129067635
34,1181.5817326180995,7424.096981617841,175.55209204060844,-33.59175327279683,178.73707759660476,-0.18906381954212503
35,846.3231720621134,5317.605319826292,185.0593145454904,-37.703978968862835,188.86116575445362,-0.2009890836508249
36,606.1898993497572,3808.8034689550664,196.0789983033473,-39.97678383309544,200.11276026601132,-0.2011244979862053
37,434.19134227214533,2728.1046622689264,207.5588363296264,-39.85202154875792,211.35007489951664,-0.18969492069502483
38,310.9951549940195,1954.0401884624616,218.25986043675402,-37.456468201521076,221.4505671431051,-0.16995849451101236
39,222.75429519995564,1399.6065147115055,227.27221178549075,-33.537583909000524,229.73338413108837,-0.14650837194510324
40,159.5506400444829,1002.4862372785938,234.275796744753,-29.06392068426519,236.07172729052093,-0.12342794242487812
41,114.28020598100309,718.0437111212954,239.437469162298,-24.849393456743684,240.72348035456463,-0.10341217635704644
42,81.85467307069021,514.3080791617493,243.1567971405429,-21.412569743721715,244.09777987248648,-0.08783417443964332
43,58.62946645916402,368.37980222399773,245.86684848229675,-19.022008418539492,246.6015895871145,-0.07721330103625383
44,41.994112349794214,263.8567897042758,247.94444775745973,-17.802811784354958,248.5827614320447,-0.07167860489870827
45,30.078825180430957,188.99083243090715,249.69758814772356,-17.83057963632565,250.33340787229645,-0.0712876921013886
46,21.54434690031882,135.3671238968633,251.38970280216964,-19.193958974089792,252.12138095778832,-0.07620356510037274
47,15.43141663868093,96.95845029312662,253.2787536117176,-22.030141121123908,254.23503721737842,-0.08676146487392708
48,11.052951411260198,69.44774190819994,255.66503947155977,-26.539597278453037,257.03883487071886,-0.10343565658870552
49,7.916819159263001,49.74284182107913,258.94986106004535,-32.979400762489945,261.0415128244351,-0.12667628441757886
50,5.670523941381169,35.628952712496236,263.7080784415034,-41.62322731838229,266.9727395965885,-0.1565467847774032
51,4.061585988376979,25.519697406016714,270.7681088222812,-52.66154760461051,275.8416345501661,-0.1920914078833748
52,2.9091634056238775,18.278812766400474,281.2632308457694,-66.00335452088922,288.90387299898,-0.23049688994927084
53,2.0837258511429577,13.09243565209171,296.55690161699226,-80.95639143241061,307.408414345522,-0.26649444632027347
